Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,MatchID,Home Team Initials,Away Team Initials
1930,26 Jul 1930 - 14:45 ,Semi-finals,Argentina,6,1,USA,1088,ARG,USA
1930,27 Jul 1930 - 14:45 ,Semi-finals,Uruguay,6,1,Yugoslavia,1101,URU,YUG
1930,30 Jul 1930 - 14:15 ,Final,Uruguay,4,2,Argentina,1087,URU,ARG
1934,31 May 1934 - 16:30 ,Quarter-finals,Czechoslovakia,3,2,Switzerland,1143,TCH,SUI
1934,31 May 1934 - 16:30 ,Quarter-finals,Germany,2,1,Sweden,1129,GER,SWE
1934,31 May 1934 - 16:30 ,Quarter-finals,Italy,1,1,Spain,1122,ITA,ESP
1934,31 May 1934 - 16:30 ,Quarter-finals,Austria,2,1,Hungary,1106,AUT,HUN
1934,01 Jun 1934 - 16:30 ,Quarter-finals,Italy,1,0,Spain,1123,ITA,ESP
1934,03 Jun 1934 - 16:30 ,Semi-finals,Italy,1,0,Austria,1107,ITA,AUT
1934,03 Jun 1934 - 16:30 ,Semi-finals,Czechoslovakia,3,1,Germany,1130,TCH,GER
1934,10 Jun 1934 - 17:30 ,Final,Italy,2,1,Czechoslovakia,1134,ITA,TCH
1938,04 Jun 1938 - 17:00 ,First round,Switzerland,1,1,Germany,1165,SUI,GER
1938,05 Jun 1938 - 17:00 ,First round,Hungary,6,0,Dutch East Indies,1173,HUN,INH
1938,05 Jun 1938 - 17:00 ,First round,France,3,1,Belgium,1146,FRA,BEL
1938,05 Jun 1938 - 17:00 ,First round,Cuba,3,3,Romania,1156,CUB,ROU
1938,05 Jun 1938 - 17:00 ,First round,Italy,2,1,Norway,1179,ITA,NOR
1938,05 Jun 1938 - 17:30 ,First round,Brazil,6,5,Poland,1150,BRA,POL
1938,05 Jun 1938 - 18:30 ,First round,Czechoslovakia,3,0,Netherlands,1172,TCH,NED
1938,09 Jun 1938 - 18:00 ,First round,Cuba,2,1,Romania,1157,CUB,ROU
1938,09 Jun 1938 - 18:00 ,First round,Switzerland,4,2,Germany,1166,SUI,GER
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Brazil,1,1,Czechoslovakia,1152,BRA,TCH
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Hungary,2,0,Switzerland,1175,HUN,SUI
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Sweden,8,0,Cuba,1158,SWE,CUB
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Italy,3,1,France,1164,ITA,FRA
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Brazil,2,1,Czechoslovakia,1153,BRA,TCH
1938,16 Jun 1938 - 18:00 ,Semi-finals,Hungary,5,1,Sweden,1176,HUN,SWE
1938,16 Jun 1938 - 18:00 ,Semi-finals,Italy,2,1,Brazil,1149,ITA,BRA
1938,19 Jun 1938 - 17:00 ,Final,Italy,4,2,Hungary,1174,ITA,HUN
1954,26 Jun 1954 - 17:00 ,Quarter-finals,Uruguay,4,2,England,1264,URU,ENG
1954,26 Jun 1954 - 17:00 ,Quarter-finals,Austria,7,5,Switzerland,1237,AUT,SUI
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Germany FR,2,0,Yugoslavia,1285,FRG,YUG
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Hungary,4,2,Brazil,1248,HUN,BRA
1954,30 Jun 1954 - 18:00 ,Semi-finals,Germany FR,6,1,Austria,1233,FRG,AUT
1954,30 Jun 1954 - 18:00 ,Semi-finals,Hungary,4,2,Uruguay,1295,HUN,URU
1954,04 Jul 1954 - 17:00 ,Final,Germany FR,3,2,Hungary,1278,FRG,HUN
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Brazil,1,0,Wales,1345,BRA,WAL
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Germany FR,1,0,Yugoslavia,1392,FRG,YUG
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Sweden,2,0,Soviet Union,1437,SWE,URS
1958,19 Jun 1958 - 19:00 ,Quarter-finals,France,4,0,Northern Ireland,1385,FRA,NIR
1958,24 Jun 1958 - 19:00 ,Semi-finals,Sweden,3,1,Germany FR,1390,SWE,FRG
1958,24 Jun 1958 - 19:00 ,Semi-finals,Brazil,5,2,France,1340,BRA,FRA
1958,29 Jun 1958 - 15:00 ,Final,Brazil,5,2,Sweden,1343,BRA,SWE
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Chile,2,1,Soviet Union,1474,CHI,URS
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Brazil,3,1,England,1459,BRA,ENG
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Czechoslovakia,1,0,Hungary,1525,TCH,HUN
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Yugoslavia,1,0,Germany FR,1511,YUG,FRG
1962,13 Jun 1962 - 14:30 ,Semi-finals,Czechoslovakia,3,1,Yugoslavia,1559,TCH,YUG
1962,13 Jun 1962 - 14:30 ,Semi-finals,Brazil,4,2,Chile,1458,BRA,CHI
1962,17 Jun 1962 - 14:30 ,Final,Brazil,3,1,Czechoslovakia,1463,BRA,TCH
1966,23 Jul 1966 - 15:00 ,Quarter-finals,England,1,0,Argentina,1577,ENG,ARG
